Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Pentenero M., Bowers L.M., Jayasinghe R., Yap T., Cheong S.C., Kerr A.R., Farah C.S., Alevizos I.","6506595804;57209079173;56423475200;56542991300;12770989700;24477055900;57208118356;6507428673;","World Workshop on Oral Medicine VII: Clinical evidence of differential expression of lncRNAs in oral squamous cell carcinoma: A scoping review",2019,"Oral Diseases","25","S1",,"88","101",,,"10.1111/odi.13076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066409089&doi=10.1111%2fodi.13076&partnerID=40&md5=fb5328b376b1906be7ec005bc823c6b2","Department of Oncology, Oral Medicine and Oral Oncology Unit, University of Turin, Turin, Italy; Department of Stomatology, Division of Oral Medicine, Medical University of South Carolina, Charleston, SC, United States; Department of Oral Medicine and Periodontology, Faculty of Dental Sciences, University of Peradeniya, Peradeniya, Sri Lanka; Melbourne Dental School, University of Melbourne, Melbourne, VIC, Australia; Head and Neck Cancer Research Team, Cancer Research Malaysia, Subang Jaya, Selangor, Malaysia; New York University College of Dentistry, New York, NY, United States; Australian Centre for Oral Oncology Research & Education, UWA Dental School, Faculty of Health and Medical Sciences, University of Western Australia, Perth, WA, Australia; Sjogren's Syndrome and Salivary Gland Dysfunction Unit, NIDCR/NIH, Bethesda, MD, United States","Pentenero, M., Department of Oncology, Oral Medicine and Oral Oncology Unit, University of Turin, Turin, Italy; Bowers, L.M., Department of Stomatology, Division of Oral Medicine, Medical University of South Carolina, Charleston, SC, United States; Jayasinghe, R., Department of Oral Medicine and Periodontology, Faculty of Dental Sciences, University of Peradeniya, Peradeniya, Sri Lanka; Yap, T., Melbourne Dental School, University of Melbourne, Melbourne, VIC, Australia; Cheong, S.C., Head and Neck Cancer Research Team, Cancer Research Malaysia, Subang Jaya, Selangor, Malaysia; Kerr, A.R., New York University College of Dentistry, New York, NY, United States; Farah, C.S., Australian Centre for Oral Oncology Research & Education, UWA Dental School, Faculty of Health and Medical Sciences, University of Western Australia, Perth, WA, Australia; Alevizos, I., Sjogren's Syndrome and Salivary Gland Dysfunction Unit, NIDCR/NIH, Bethesda, MD, United States",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85066409089
"Sullivan E.A., Kendall S., Chang S., Baldry E., Zeki R., Gilles M., Wilson M., Butler T., Levy M., Wayland S., Cullen P., Jones J., Sherwood J.","7201723171;55990192800;7405609078;55914440600;57200643121;16749805600;56274368100;57205522535;35464807500;6601966328;57189515148;56599396700;56151898400;","Aboriginal mothers in prison in Australia: a study of social, emotional and physical wellbeing",2019,"Australian and New Zealand Journal of Public Health","43","3",,"241","247",,1,"10.1111/1753-6405.12892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064712771&doi=10.1111%2f1753-6405.12892&partnerID=40&md5=b88a4dedad4f921fc2f1acb9e8678972","Faculty of Health and Medicine, University of NewcastleNSW, Australia; The Australian Centre for Public and Population Health Research, University of Technology SydneyNSW, Australia; IMPACCT, Faculty of Health, University of Technology SydneyNSW, Australia; School of Social Sciences, UNSW SydneyNSW, Australia; WA Country Health Service – MidwestWA, Australia; National Drug Research Institute, Curtin UniversityWA, Australia; The Kirby Institute, UNSW SydneyNSW, Australia; Medical School, Australian National UniversityACT, Australia; Faculty of Health Sciences, The University of SydneyNSW, Australia; School of Public Health and Community Medicine, UNSW SydneyNSW, Australia; Faculty of Health and Medical Sciences, The University of Western AustraliaWA, Australia; Faculty of Medicine and Health, The University of SydneyNSW, Australia","Sullivan, E.A., Faculty of Health and Medicine, University of NewcastleNSW, Australia, The Australian Centre for Public and Population Health Research, University of Technology SydneyNSW, Australia; Kendall, S., The Australian Centre for Public and Population Health Research, University of Technology SydneyNSW, Australia; Chang, S., IMPACCT, Faculty of Health, University of Technology SydneyNSW, Australia; Baldry, E., School of Social Sciences, UNSW SydneyNSW, Australia; Zeki, R., The Australian Centre for Public and Population Health Research, University of Technology SydneyNSW, Australia; Gilles, M., WA Country Health Service – MidwestWA, Australia; Wilson, M., National Drug Research Institute, Curtin UniversityWA, Australia; Butler, T., The Kirby Institute, UNSW SydneyNSW, Australia; Levy, M., Medical School, Australian National UniversityACT, Australia; Wayland, S., Faculty of Health Sciences, The University of SydneyNSW, Australia; Cullen, P., School of Public Health and Community Medicine, UNSW SydneyNSW, Australia; Jones, J., Faculty of Health and Medical Sciences, The University of Western AustraliaWA, Australia; Sherwood, J., Faculty of Medicine and Health, The University of SydneyNSW, Australia",Article,"Final",Open Access,Scopus,2-s2.0-85064712771
"Zheng W., Cai D.-B., Zhang Q.-E., He J., Zhong L.-Y., Sim K., Ungvari G.S., Ning Y.-P., Xiang Y.-T.","57184693600;57192697712;57157726900;57207947104;57207953026;55904136900;7006092063;7102383434;35241398400;","Adjunctive ondansetron for schizophrenia: A systematic review and meta-analysis of randomized controlled trials",2019,"Journal of Psychiatric Research","113",,,"27","33",,,"10.1016/j.jpsychires.2019.02.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063323407&doi=10.1016%2fj.jpsychires.2019.02.024&partnerID=40&md5=fc0b227afc589e137f4de0e90751b6ed","The Affiliated Brain Hospital of Guangzhou Medical University (Guangzhou Huiai Hospital), Guangzhou, China; Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China; The National Clinical Research Center for Mental Disorders & Beijing Key Laboratory of Mental Disorders, Beijing Anding Hospital, Capital Medical University & the Advanced Innovation Center for Human Brain Protection, Capital Medical University, Beijing, China; The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China; Houjie Hospital of Dongguan City, Dongguan, China; Institute of Mental Health, Buangkok Green Medical Park, Singapore; The University of Notre Dame Australia, Fremantle, Australia; Division of Psychiatry, School of Medicine, University of Western Australia, Perth, Australia; Unit of Psychiatry, Institute of Translational Medicine, Faculty of Health Sciences, University of MacauMacao SAR, China","Zheng, W., The Affiliated Brain Hospital of Guangzhou Medical University (Guangzhou Huiai Hospital), Guangzhou, China; Cai, D.-B., Shenzhen Traditional Chinese Medicine Hospital, Shenzhen, China; Zhang, Q.-E., The National Clinical Research Center for Mental Disorders & Beijing Key Laboratory of Mental Disorders, Beijing Anding Hospital, Capital Medical University & the Advanced Innovation Center for Human Brain Protection, Capital Medical University, Beijing, China; He, J., The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China; Zhong, L.-Y., Houjie Hospital of Dongguan City, Dongguan, China; Sim, K., Institute of Mental Health, Buangkok Green Medical Park, Singapore; Ungvari, G.S., The University of Notre Dame Australia, Fremantle, Australia, Division of Psychiatry, School of Medicine, University of Western Australia, Perth, Australia; Ning, Y.-P., The Affiliated Brain Hospital of Guangzhou Medical University (Guangzhou Huiai Hospital), Guangzhou, China; Xiang, Y.-T., Unit of Psychiatry, Institute of Translational Medicine, Faculty of Health Sciences, University of MacauMacao SAR, China",Review,"Final",,Scopus,2-s2.0-85063323407
"Watson H.J., Diemer E.W., Zerwas S., Gustavson K., Knudsen G.P., Torgersen L., Reichborn-Kjennerud T., Bulik C.M.","23996257700;56545641100;6507558619;55200890300;9244023200;24178770500;6701476847;7006077802;","Prenatal and perinatal risk factors for eating disorders in women: A population cohort study",2019,"International Journal of Eating Disorders","52","6",,"643","651",,,"10.1002/eat.23073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067058393&doi=10.1002%2feat.23073&partnerID=40&md5=d085bf23a5f6a47c22b10275f33b7408","Department of Psychiatry, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; School of Paediatrics and Child Health, The University of Western Australia, Perth, WA, Australia; School of Psychology and Speech Pathology, Curtin University, Perth, WA, Australia; Harvard T. H. Chan School of Public Health, Harvard University, Boston, MA, United States; Department of Mental and Physical Health, Norwegian Institute of Public Health, Oslo, Norway; Department of Psychology, University of Oslo, Oslo, Norway; Division of Mental Health Services, Akershus University Hospital, Oslo, Norway; Institute of Clinical Medicine, University of Oslo, Oslo, Norway; Department of Nutrition, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden","Watson, H.J., Department of Psychiatry, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States, School of Paediatrics and Child Health, The University of Western Australia, Perth, WA, Australia, School of Psychology and Speech Pathology, Curtin University, Perth, WA, Australia; Diemer, E.W., Harvard T. H. Chan School of Public Health, Harvard University, Boston, MA, United States; Zerwas, S., Department of Psychiatry, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Gustavson, K., Department of Mental and Physical Health, Norwegian Institute of Public Health, Oslo, Norway, Department of Psychology, University of Oslo, Oslo, Norway; Knudsen, G.P., Department of Mental and Physical Health, Norwegian Institute of Public Health, Oslo, Norway; Torgersen, L., Department of Mental and Physical Health, Norwegian Institute of Public Health, Oslo, Norway; Reichborn-Kjennerud, T., Division of Mental Health Services, Akershus University Hospital, Oslo, Norway, Institute of Clinical Medicine, University of Oslo, Oslo, Norway; Bulik, C.M., Department of Psychiatry, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States, Department of Nutrition, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States, Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden",Article,"Final",,Scopus,2-s2.0-85067058393
"Manfredi M., Dave B., Percudani D., Christoforou J., Karasneh J., Diz Dios P., Glick M., Kumar N., Lockhart P.B., Patton L.L.","56232519100;54789631800;56054453000;57203161244;6505837728;7003338990;7102493226;7401450399;7006145136;7005175686;","World workshop on oral medicine VII: Direct anticoagulant agents management for invasive oral procedures: A systematic review and meta-analysis",2019,"Oral Diseases","25","S1",,"157","173",,,"10.1111/odi.13086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066408067&doi=10.1111%2fodi.13086&partnerID=40&md5=a0378e12ed622c9596d1a9ebdb7b8731","Dipartimento di Medicina e Chirurgia, University of Parma, Parma, Italy; Department of Oral Medicine, Leeds Dental Institute, Leeds, West Yorkshire, United Kingdom; University of Parma, Parma, Italy; University of Western Australia, Perth, WA, Australia; Department of Oral Medicine and Surgery, Faculty of Dentistry, Jordan University of Science and Technology, Irbid, Jordan; Medical-Surgical Dentistry Research Group (OMEQUI), Health Research Institute of Santiago de Compostela (IDIS), University of Santiago de Compostela, Santiago de Compostela, Spain; School of Dental Medicine, University at Buffalo, The State University of New York, Buffalo, NY, United States; Cert Surg & Pros Implantology, Eastman Dental Hospital for Oral Healthcare Sciences, London, United Kingdom; Carolinas Medical Center, Charlotte, NC, United States; University of North Carolina, Chapel Hill, NC, United States","Manfredi, M., Dipartimento di Medicina e Chirurgia, University of Parma, Parma, Italy; Dave, B., Department of Oral Medicine, Leeds Dental Institute, Leeds, West Yorkshire, United Kingdom; Percudani, D., University of Parma, Parma, Italy; Christoforou, J., University of Western Australia, Perth, WA, Australia; Karasneh, J., Department of Oral Medicine and Surgery, Faculty of Dentistry, Jordan University of Science and Technology, Irbid, Jordan; Diz Dios, P., Medical-Surgical Dentistry Research Group (OMEQUI), Health Research Institute of Santiago de Compostela (IDIS), University of Santiago de Compostela, Santiago de Compostela, Spain; Glick, M., School of Dental Medicine, University at Buffalo, The State University of New York, Buffalo, NY, United States; Kumar, N., Cert Surg & Pros Implantology, Eastman Dental Hospital for Oral Healthcare Sciences, London, United Kingdom; Lockhart, P.B., Carolinas Medical Center, Charlotte, NC, United States; Patton, L.L., University of North Carolina, Chapel Hill, NC, United States",Article,"Final",Open Access,Scopus,2-s2.0-85066408067
"Delli K., Villa A., Farah C.S., Celentano A., Ojeda D., Peterson D., Jensen S.B., Glurich I., Vissink A.","37003608300;36706663300;57208118356;56421801200;57201878779;57207071879;57195257557;6603232177;7005444242;","World Workshop on Oral Medicine VII: Biomarkers predicting lymphoma in the salivary glands of patients with Sjögren’s syndrome—A systematic review",2019,"Oral Diseases","25","S1",,"49","63",,,"10.1111/odi.13041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066399565&doi=10.1111%2fodi.13041&partnerID=40&md5=eee415bad75a37c340af5807db76f4f7","Department of Oral and Maxillofacial Surgery, University Medical Center Groningen, University of Groningen, Groningen, Netherlands; Division of Oral Medicine and Dentistry, Brigham and Women’s Hospital, Boston, MA, United States; Department of Oral Medicine, Infection and Immunity, Harvard School of Dental Medicine, Boston, MA, United States; UWA Dental School, University of Western Australia, Perth, WA, Australia; Melbourne Dental School, The University of Melbourne, Melbourne, VIC, Australia; Department of Comprehensive Dentistry, School of Dentistry, UT Health San Antonio, San Antonio, TX, United States; Oral Medicine, Department of Oral Health and Diagnostic Sciences, School of Dental Medicine, UConn Health, Farmington, United States; Department of Dentistry and Oral Health, Faculty of Health, Aarhus University, Aarhus, Denmark; Center for Oral and Systemic Medicine, Marshfield Clinic Research Institute, Marshfield, United States","Delli, K., Department of Oral and Maxillofacial Surgery, University Medical Center Groningen, University of Groningen, Groningen, Netherlands; Villa, A., Division of Oral Medicine and Dentistry, Brigham and Women’s Hospital, Boston, MA, United States, Department of Oral Medicine, Infection and Immunity, Harvard School of Dental Medicine, Boston, MA, United States; Farah, C.S., UWA Dental School, University of Western Australia, Perth, WA, Australia; Celentano, A., Melbourne Dental School, The University of Melbourne, Melbourne, VIC, Australia; Ojeda, D., Department of Comprehensive Dentistry, School of Dentistry, UT Health San Antonio, San Antonio, TX, United States; Peterson, D., Oral Medicine, Department of Oral Health and Diagnostic Sciences, School of Dental Medicine, UConn Health, Farmington, United States; Jensen, S.B., Department of Dentistry and Oral Health, Faculty of Health, Aarhus University, Aarhus, Denmark; Glurich, I., Center for Oral and Systemic Medicine, Marshfield Clinic Research Institute, Marshfield, United States; Vissink, A., Department of Oral and Maxillofacial Surgery, University Medical Center Groningen, University of Groningen, Groningen, Netherlands",Article,"Final",,Scopus,2-s2.0-85066399565
"Spahn D.R., Schoenrath F., Spahn G.H., Seifert B., Stein P., Theusinger O.M., Kaserer A., Hegemann I., Hofmann A., Maisano F., Falk V.","35464360100;55965670200;56605992600;35433051300;23010378100;16481356900;57189361439;36727527800;16480648600;7004629354;26867592300;","Effect of ultra-short-term treatment of patients with iron deficiency or anaemia undergoing cardiac surgery: a prospective randomised trial",2019,"The Lancet","393","10187",,"2201","2212",,2,"10.1016/S0140-6736(18)32555-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064631023&doi=10.1016%2fS0140-6736%2818%2932555-8&partnerID=40&md5=a6cb93a759efbd26e7018f714d09b70a","Institute of Anaesthesiology, University of Zurich and University Hospital Zurich, Zurich, Switzerland; Department of Cardiothoracic and Vascular Surgery, German Heart Centre Berlin, Berlin, Germany; German Centre for Cardiovascular Research, partner site Berlin, Germany; Department of Biostatistics, Epidemiology, Biostatistics and Prevention Institute, University of Zurich, Switzerland; Department of Anaesthesiology, University of Zurich and University Hospital Balgrist, Zurich, Switzerland; Division of Haematology, University of Zurich and Zurich University Hospital, Zurich, Switzerland; School of Surgery, University of Western Australia and School of Public Health Research, Curtin University, Perth, Western Australia, Australia; Department of Cardiovascular Surgery, University of Zurich and University Hospital Zurich, Zurich, Switzerland; German Centre for Cardiovascular Research, Berlin, Germany; Department of Cardiothoracic Surgery, Charité – Universitätsmedizin Berlin Universität Berlin, Humboldt-Universität zu Berlin, Berlin Institute of Health, Berlin, Germany","Spahn, D.R., Institute of Anaesthesiology, University of Zurich and University Hospital Zurich, Zurich, Switzerland; Schoenrath, F., Department of Cardiothoracic and Vascular Surgery, German Heart Centre Berlin, Berlin, Germany, German Centre for Cardiovascular Research, partner site Berlin, Germany; Spahn, G.H., Institute of Anaesthesiology, University of Zurich and University Hospital Zurich, Zurich, Switzerland; Seifert, B., Department of Biostatistics, Epidemiology, Biostatistics and Prevention Institute, University of Zurich, Switzerland; Stein, P., Institute of Anaesthesiology, University of Zurich and University Hospital Zurich, Zurich, Switzerland; Theusinger, O.M., Department of Anaesthesiology, University of Zurich and University Hospital Balgrist, Zurich, Switzerland; Kaserer, A., Institute of Anaesthesiology, University of Zurich and University Hospital Zurich, Zurich, Switzerland; Hegemann, I., Division of Haematology, University of Zurich and Zurich University Hospital, Zurich, Switzerland; Hofmann, A., Institute of Anaesthesiology, University of Zurich and University Hospital Zurich, Zurich, Switzerland, School of Surgery, University of Western Australia and School of Public Health Research, Curtin University, Perth, Western Australia, Australia; Maisano, F., Department of Cardiovascular Surgery, University of Zurich and University Hospital Zurich, Zurich, Switzerland; Falk, V., Department of Cardiothoracic and Vascular Surgery, German Heart Centre Berlin, Berlin, Germany, German Centre for Cardiovascular Research, Berlin, Germany, Department of Cardiothoracic Surgery, Charité – Universitätsmedizin Berlin Universität Berlin, Humboldt-Universität zu Berlin, Berlin Institute of Health, Berlin, Germany",Article,"Final",,Scopus,2-s2.0-85064631023
"Guymer R.H., Wu Z., Hodgson L.A.B., Caruso E., Brassington K.H., Tindill N., Aung K.Z., McGuinness M.B., Fletcher E.L., Chen F.K., Chakravarthy U., Arnold J.J., Heriot W.J., Durkin S.R., Lek J.J., Harper C.A., Wickremasinghe S.S., Sandhu S.S., Baglin E.K., Sharangan P., Braat S., Luu C.D.","6603688370;55657498000;35071212400;57191621508;55918638300;55652520000;26423491600;56684726100;7101768336;7404908114;57202570532;7403060368;6601929245;6701627507;56176813300;7201981504;6603181224;8399238300;57199507330;57199499915;49962888800;6603760398;","Subthreshold Nanosecond Laser Intervention in Age-Related Macular Degeneration: The LEAD Randomized Controlled Clinical Trial",2019,"Ophthalmology","126","6",,"829","838",,1,"10.1016/j.ophtha.2018.09.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054763110&doi=10.1016%2fj.ophtha.2018.09.015&partnerID=40&md5=7a2b512ea5b5ca9be73f187ddf687ef4","Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Department of Anatomy and Neuroscience, The University of Melbourne, Melbourne, Australia; Centre for Ophthalmology and Visual Science (incorporating the Lions Eye Institute), The University of Western Australia and the Department of Ophthalmology, Royal Perth Hospital, Perth, Australia; Belfast Health and Social Care Trust, Belfast, Northern Ireland, Ireland; Marsden Eye Research, Sydney, Australia; Retinology Institute Victoria, Glen Iris, Australia; Adelaide Eye and Retina Centre, Adelaide, Australia; Department of Optometry and Vision Sciences, The University of Melbourne, Melbourne, Australia; Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health and Melbourne Clinical and Translational Sciences, The University of Melbourne, Melbourne, Australia","Guymer, R.H., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Wu, Z., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Hodgson, L.A.B., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Caruso, E., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Brassington, K.H., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Tindill, N., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Aung, K.Z., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; McGuinness, M.B., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Fletcher, E.L., Department of Anatomy and Neuroscience, The University of Melbourne, Melbourne, Australia; Chen, F.K., Centre for Ophthalmology and Visual Science (incorporating the Lions Eye Institute), The University of Western Australia and the Department of Ophthalmology, Royal Perth Hospital, Perth, Australia; Chakravarthy, U., Belfast Health and Social Care Trust, Belfast, Northern Ireland, Ireland; Arnold, J.J., Marsden Eye Research, Sydney, Australia; Heriot, W.J., Retinology Institute Victoria, Glen Iris, Australia; Durkin, S.R., Adelaide Eye and Retina Centre, Adelaide, Australia; Lek, J.J., Department of Optometry and Vision Sciences, The University of Melbourne, Melbourne, Australia; Harper, C.A., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Wickremasinghe, S.S., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Sandhu, S.S., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Baglin, E.K., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Sharangan, P., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia; Braat, S., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health and Melbourne Clinical and Translational Sciences, The University of Melbourne, Melbourne, Australia; Luu, C.D., Centre for Eye Research Australia, Royal Victorian Eye and Ear Hospital, Ophthalmology, Department of Surgery, The University of Melbourne, Melbourne, Australia",Article,"Final",Open Access,Scopus,2-s2.0-85054763110
"Young J.T., Puljevia C., Love A.D., Janca E.K., Segan C.J., Baird D., Whiffen R., Pappos S., Bell E., Kinner S.A.","55866384500;57209262046;57197823856;57209251600;6603022792;57209068684;57192390581;57209256718;57209241657;6507127750;","Staying Quit after Release (SQuARe) trial protocol: A randomised controlled trial of a multicomponent intervention to maintain smoking abstinence after release from smoke-free prisons in Victoria, Australia",2019,"BMJ Open","9","6", e027307,"","",,,"10.1136/bmjopen-2018-027307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067052039&doi=10.1136%2fbmjopen-2018-027307&partnerID=40&md5=8cece3a25a0efb1f29195961bd45cd36","Melbourne School of Population and Global Health, University of Melbourne, Melbourne, VC, Australia; Centre for Adolescent Health, Murdoch Children's Research Institute, University of Melbourne, Melbourne, VC, Australia; School of Population and Global Health, University of Western Australia, Perth, WA, Australia; National Drug Research Institute, Curtin University, Perth, WA, Australia; Centre for Health Services Research, University of Queensland, Brisbane, QA, Australia; Griffith Criminology Institute, Griffith University, Brisbane, QC, Australia; Cancer Council Victoria, Melbourne, VC, Australia; School of Medicine and Public Health, University of Newcastle, Newcastle, New South Wales, Australia; Australian Community Support Organisation, Richmond, VC, Australia; School of Public Health and Preventive Medicine, Monash University, Melbourne, VC, Australia; Mater Research Institute-UQ, University of Queensland, Brisbane, QC, Australia; Netherlands Institute for the Study of Crime and Law Enforcement, Amsterdam, Netherlands","Young, J.T., Melbourne School of Population and Global Health, University of Melbourne, Melbourne, VC, Australia, Centre for Adolescent Health, Murdoch Children's Research Institute, University of Melbourne, Melbourne, VC, Australia, School of Population and Global Health, University of Western Australia, Perth, WA, Australia, National Drug Research Institute, Curtin University, Perth, WA, Australia; Puljevia, C., Melbourne School of Population and Global Health, University of Melbourne, Melbourne, VC, Australia, Centre for Health Services Research, University of Queensland, Brisbane, QA, Australia, Griffith Criminology Institute, Griffith University, Brisbane, QC, Australia; Love, A.D., Melbourne School of Population and Global Health, University of Melbourne, Melbourne, VC, Australia; Janca, E.K., Melbourne School of Population and Global Health, University of Melbourne, Melbourne, VC, Australia; Segan, C.J., Melbourne School of Population and Global Health, University of Melbourne, Melbourne, VC, Australia, Cancer Council Victoria, Melbourne, VC, Australia; Baird, D., Cancer Council Victoria, Melbourne, VC, Australia, School of Medicine and Public Health, University of Newcastle, Newcastle, New South Wales, Australia; Whiffen, R., Cancer Council Victoria, Melbourne, VC, Australia; Pappos, S., Australian Community Support Organisation, Richmond, VC, Australia; Bell, E., Australian Community Support Organisation, Richmond, VC, Australia; Kinner, S.A., Melbourne School of Population and Global Health, University of Melbourne, Melbourne, VC, Australia, Centre for Adolescent Health, Murdoch Children's Research Institute, University of Melbourne, Melbourne, VC, Australia, Griffith Criminology Institute, Griffith University, Brisbane, QC, Australia, School of Public Health and Preventive Medicine, Monash University, Melbourne, VC, Australia, Mater Research Institute-UQ, University of Queensland, Brisbane, QC, Australia, Netherlands Institute for the Study of Crime and Law Enforcement, Amsterdam, Netherlands",Article,"Final",Open Access,Scopus,2-s2.0-85067052039
"Christoforou J., Karasneh J., Manfredi M., Dave B., Walker J.S., Dios P.D., Epstein J., Kumar N., Glick M., Lockhart P.B., Patton L.L.","57203161244;6505837728;56232519100;54789631800;56623699600;57190876764;55586383600;7401450399;7102493226;7006145136;7005175686;","World Workshop on Oral Medicine VII: Non-opioid pain management of head and neck chemo/radiation-induced mucositis: A systematic review",2019,"Oral Diseases","25","S1",,"182","192",,,"10.1111/odi.13074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066411474&doi=10.1111%2fodi.13074&partnerID=40&md5=ff7be6a33242c921bc48de3a353b42a2","University of Western Australia, Crawley, WA, Australia; Department of Oral Medicine and Surgery, Faculty of Dentistry, Jordan University of Science and Technology, Irbid, Jordan; Dipartimento di Medicina e Chirugia, University of Parma, Parma, Italy; Department of Oral Medicine, Leeds Dental Institute, Leeds, United Kingdom; Health Sciences Library, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Medical-Surgical Dentistry Research Group (OMEQUI), Health Research Institute of Santiago de Compostela (IDIS), University of Santiago de Compostela, Santiago de Compostela, Spain; Cedars-Sinai Medical Center, Los Angeles, CA, United States; Eastman Dental Hospital for Oral Healthcare Sciences, London, United Kingdom; School of Dental Medicine, University at Buffalo, The State University of New York, Buffalo, NY, United States; Carolinas Medical Center, Charlotte, NC, United States; University of North Carolina at Chapel Hill, Chapel Hill, NC, United States","Christoforou, J., University of Western Australia, Crawley, WA, Australia; Karasneh, J., Department of Oral Medicine and Surgery, Faculty of Dentistry, Jordan University of Science and Technology, Irbid, Jordan; Manfredi, M., Dipartimento di Medicina e Chirugia, University of Parma, Parma, Italy; Dave, B., Department of Oral Medicine, Leeds Dental Institute, Leeds, United Kingdom; Walker, J.S., Health Sciences Library, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Dios, P.D., Medical-Surgical Dentistry Research Group (OMEQUI), Health Research Institute of Santiago de Compostela (IDIS), University of Santiago de Compostela, Santiago de Compostela, Spain; Epstein, J., Cedars-Sinai Medical Center, Los Angeles, CA, United States; Kumar, N., Eastman Dental Hospital for Oral Healthcare Sciences, London, United Kingdom; Glick, M., School of Dental Medicine, University at Buffalo, The State University of New York, Buffalo, NY, United States; Lockhart, P.B., Carolinas Medical Center, Charlotte, NC, United States; Patton, L.L., University of North Carolina at Chapel Hill, Chapel Hill, NC, United States",Review,"Final",,Scopus,2-s2.0-85066411474
